,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Primary Built,Secondary Built,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Total Cu Cost,Total Fe Cost,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power,Frequency,B max,bobbin,efficiency,Primary Layers,Secondary Layers,Weight Cu Primary,weight Cu Secondary
4147,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,170.0,120.0,160.0,30.0,6.8,7.0,18.8,143.542152,93.3156899810964,55.78157537063024,32.47885305176835,7986.01977,23923.692,95.694768,8.4063366,31909.711769999998,41,41,63,66,46,46,2583,2706,0.024107999999999997,0.025255999999999997,1168.64,3460.0,8.4063366,95.694768,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.68622515192358,1,1,4.1054202,4.3009164
229,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,105.0,125.0,290.0,25.0,6.8,7.0,18.8,131.08095,117.66351606805291,47.94069380090516,28.498380616078375,10069.723169999997,21846.825,87.3873,10.599708599999998,31916.54817,63,64,51,54,85,85,3213,3456,0.029987999999999997,0.03225599999999999,1770.16,3701.5,10.599708599999998,87.3873,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.57292742646082,1,1,5.106742199999999,5.4929664
787,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,115.0,125.0,260.0,25.0,6.8,7.0,18.8,133.7763375,112.52930056710775,49.2387416071811,29.482473972449565,9630.33354,22296.056249999998,89.184225,10.1371932,31926.389789999997,58,59,53,56,76,76,3074,3304,0.028690666666666663,0.03083733333333333,1639.04,3625.5,10.1371932,89.184225,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.59615175686315,1,1,4.8858156,5.2513776000000005
878,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,115.0,130.0,240.0,30.0,6.8,7.0,18.8,135.73404,108.71833648393195,50.46791311792813,29.55919692732731,9304.18866,22622.34,90.48936,9.7938828,31926.52866,55,56,54,57,70,70,2970,3192,0.027719999999999998,0.029792,1536.96,3667.0,9.7938828,90.48936,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.61380728319779,1,1,4.720518,5.0733648
858,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,115.0,130.0,245.0,25.0,6.8,7.0,18.8,135.73404,108.71833648393195,49.61564559162376,29.63598698521297,9304.18866,22622.34,90.48936,9.7938828,31926.52866,55,56,54,57,71,71,2970,3192,0.027719999999999998,0.029792,1568.98,3655.5,9.7938828,90.48936,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.61380728319779,1,1,4.720518,5.0733648
1237,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,120.0,135.0,210.0,30.0,6.8,7.0,18.8,137.89034999999998,104.51921865154378,53.18078755766168,30.095761161715,8944.825320000002,22981.725,91.92689999999999,9.415605600000001,31926.550320000002,51,52,56,59,61,61,2856,3068,0.026656,0.028634666666666662,1386.84,3645.0,9.415605600000001,91.92689999999999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.63327596864048,1,1,4.5393264,4.8762792
1220,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,120.0,135.0,215.0,25.0,6.8,7.0,18.8,137.89034999999998,104.51921865154378,52.157135790943904,30.177848574701848,8944.825320000002,22981.725,91.92689999999999,9.415605600000001,31926.550320000002,51,52,56,59,62,62,2856,3068,0.026656,0.028634666666666662,1419.86,3633.0,9.415605600000001,91.92689999999999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.63327596864048,1,1,4.5393264,4.8762792
2063,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,135.0,120.0,230.0,25.0,6.8,7.0,18.8,137.89034999999998,104.51921865154378,49.3310897583283,30.91782178405324,8944.825320000002,22981.725,91.92689999999999,9.415605600000001,31926.550320000002,51,52,56,59,67,67,2856,3068,0.026656,0.028634666666666662,1518.92,3528.0,9.415605600000001,91.92689999999999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.63327596864048,1,1,4.5393264,4.8762792
3340,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,155.0,120.0,190.0,25.0,6.8,7.0,18.8,141.43123799999998,97.65595463137996,52.02322612882339,32.02267735863637,8357.46255,23571.872999999996,94.28749199999999,8.797329,31929.335549999996,45,45,60,63,55,55,2700,2835,0.025199999999999997,0.026459999999999997,1330.76,3468.0,8.797329,94.28749199999999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.66495598549605,1,1,4.29138,4.505948999999999
3354,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,155.0,120.0,185.0,30.0,6.8,7.0,18.8,141.43123799999998,97.65595463137996,53.18190714657015,31.904937922629014,8357.46255,23571.872999999996,94.28749199999999,8.797329,31929.335549999996,45,45,60,63,53,53,2700,2835,0.025199999999999997,0.026459999999999997,1295.74,3483.5,8.797329,94.28749199999999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.66495598549605,1,1,4.29138,4.505948999999999
